Column,"Salary/ hono
rari","-
Fees
a","Expense allow
ance","-
Total
s"
,Shs’00,0 Shs’000,Shs’000,Shs’000
ar ended 30 June 2023,,,,
ecutive Director,,,,
(Eng.) Joseph Siror- MD & CEO,"1,8",31 -,647,"2,479"
g. Geoffrey Muli- Ag. Managing Director,"6,01",8 -,"3,782","9,800"
n-Executive Directors,,,,
y Brenda Masinde - Chairman,56,0 324,"2,20","1 3,085"
Vivienne Yeda – Former Chairman,40,0 276,245,921
", National Treasury",,- 600,,- 600
", Energy",,- 600,,- 600
iro Thuo,,- 600,689,"1,289"
Duncan Ojwang,,- 324,"1,272","1,596"
g. Albert Mugo,,- 324,"1,027","1,351"
gan Christi Hambrick,,- 324,"2,100","2,424"
ska Kangogo,,- 324,"2,378","2,702"
rah Mbwaya,,- 234,440,674
stice (RTD) Aaron Gitonga Ringera,,- 187,376,563
g (Rtd) James M Gitiba (Ebs),,- 234,900,"1,134"
da Kemoli,,- 276,480,756
g. Benson Mwakina,,- -,"1,81","1 1,811"
. Humphrey Muhu,,- -,"1,606","1,606"
,"8,80","9 4,627","19,954","33,391"
ar ended 30 June 2022,,,,
ecutive Director,,,,
g. Geoffrey Muli- Ag. MD,"1,20",4 -,713,"1,917"
g. Rosemary Oduor- Ag. MD & CEO,"6,3",91 -,"4,072","10,463"
rnard Ngugi- MD & CEO,76,0 -,180,940
n-Executive Directors,,,,
Vivienne Yeda - Chairman,96,0 600,"1,340","2,900"
", National Treasury",,- 600,,- 600
j.Gen (Rtd) Gordon Kihalangwa,,- 600,,- 600
ulrazaq Ali,,- 544,700,"1,244"
iro Thuo,,- 600,640,"1,240"
zabeth Rogo,,- 544,"1,416","1,960"
roline Kittony,,- 544,"1,442","1,986"
chen Gudka,,- 253,520,773
mphrey Muhu Njoroge,,- -,"1,440","1,440"
nson Mwakina,,- -,795,795
da Kemoli,,- 347,740,"1,087"
ac Kiva,,- -,220,220
,"9,31","5 4,632","14,218","28,165"
