REGION,2018/19,2019/20,2020/21,2021/22,2022/23
Nairobi,"3,896","3,901","4,009","4,241","4,346"
Coast,"1,477","1,464","1,573","1,674","1,800"
Central Rift,689,680,722,811,840
North Rift,288,302,317,357,349
South Nyanza,104,123,127,134,137
West Kenya,376,376,395,429,479
Mt Kenya,456,439,496,531,548
North Eastern,862,869,914,969,"1,039"
KPLC Sales,"8,147","8,154","8,553","9,147","9,539"
R.E.P. Schemes,595,602,632,650,667
Export Sales,27,18,17,16,27
TOTAL,"8,769","8,773","9,203","9,813","10,233"
%INCREASE P.A.,3.7%,0.05%,4.90%,6.63%,4.28%
