Column,Column,Group,Column,Company,Column
KShs’000,Notes,2021,2020,2021,
,,2 311 463,1 485 595,(168),(2 540)
Cash (utilised in)/generated from by operations,32,(1 314 802),(646 325),(168),(2 540)
Cash receipts from policyholders,,13 834 263,13 539 491,–,–
"Cash paid to policyholders, intermediaries, suppliers
and employees",,(15 149 065),(14 185 816),(168),(2 540)
"Interest income on financial assets using the
effective interest rate method",24.2,643 753,506 922,–,–
Finance costs,29,(10 788),(12 296),–,–
Taxation paid,33,(313 358),(421 432),–,–
Net purchase of financial instruments,,3 306 658,2 058 726,–,–
Cash flows from investing activities,,(127 002),(166 318),–,–
Purchase of equipment,5.2.1,(52 821),(133 169),–,–
Proceeds on sale of equipment,,–,27 330,–,–
Acquisition of intangible assets,3,(74 181),(60 479),–,–
Cash flow from financing activities,,(33 306),(30 623),–,–
Repayment of lease liabilities,16.1,(33 306),(30 623),–,–
,,2 151 155,1 288 654,(168),
"Cash and cash equivalents at the beginning
of the year",,5 735 467,4 419 078,10 319,12 859
Foreign currency translation,,(30 718),27 735,–,–
,,7 855 904,5 735 467,10 151,
