Column,Column,Group,Column,Company,Column
KShs’000,Notes,2022,2021,2022,
,,801 254,2 311 463,150 378,(168)
Cash (utilised in)/generated from by operations,32,(509 189),(1 314 802),150 378,(168)
Cash receipts from policyholders,,14 335 568,13 834 263,–,–
"Cash paid to policyholders, intermediaries, suppliers
and employees",,(14 844 757),(15 149 065),150 378,(168)
"Interest income on financial assets using the
effective interest rate method",24.2,799 081,643 753,–,–
Finance costs,29,(10 757),(10 788),–,–
Taxation paid,33,(333 142),(313 358),–,–
Proceeds on sale of investment properties,,506 843,–,,–
Net purchase of financial instruments,,348 418,3 306 658,–,–
Cash flows from investing activities,,(168 738),(127 002),–,–
Purchase of equipment,5.2.1,(100 770),(52 821),–,–
Proceeds on sale of equipment,,–,–,–,–
Acquisition of intangible assets,3,(67 968),(74 181),–,–
Cash flow from financing activities,,(33 715),(33 306),(130 000),–
Repayment of lease liabilities,16.1,(33 715),(33 306),–,–
Purchase of equity shares,,–,–,(130 000),–
,,598 801,2 151 155,20 378,
"Cash and cash equivalents at the beginning
of the year",,7 855 904,5 735 467,10 151,10 319
Foreign currency translation,,(34 274),(30 718),–,–
,,8 420 431,7 855 904,30 529,
