17,Employee benefits,51
18,Insurance and other payables,53
19,"Summary of the group’s financial, property, insurance
and reinsurance assets and long-term policyholder
and reinsurance liabilities per class",54
20,Fair value hierarchy,56
21,Share capital and share premium,63
22,Revenue,63
23,"Revenue from contract with customers and fee
income from placement of reinsurance",64
24,"Investment income and interest income on financial
assets using the effective interest rate method",65
25,"Fair value adjustments to assets held at fair value
through profit or loss",65
26,Claims and policyholder benefits,66
27,Acquisition costs,66
28,General marketing and administration expenses,67
29,Finance costs,67
30,"Details of non-wholly-owned subsidiaries that have
significant non-controlling interests",68
31,Taxation,69
32,Cash (utilised in)/generated from operations,70
33,Taxation paid,71
34,Related party disclosures,72
35,Commitments,77
