"Excluding loss
component","Loss
component",Total LRC,LIC,Total annuities
650 603,–,650 603,–,650 603
–,–,–,–,–
650 603,–,650 603,–,650 603
(4 752),–,(4 752),–,(4 752)
1 952,–,1 952,1 052,3 004
–,–,–,–,–
–,–,–,1 052,1 052
–,–,–,–,–
–,–,–,–,–
–,–,–,–,
–,–,–,–,–
1 952,–,1 952,–,1 952
(2 800),–,(2 800),1 052,(1 748)
42 274,–,42 274,–,42 274
–,–,–,–,–
39 474,–,39 474,1 052,40 526
(98 240),–,(98 240),98 240,–
336 060,–,336 060,(99 292),236 768
338 187,–,338 187,–,338 187
–,–,–,(98 240),(98 240)
–,–,–,(1 052),(1 052)
(2 127),–,(2 127),–,(2 127)
–,–,–,–,–
927 897,–,927 897,–,927 897
–,–,–,–,–
927 897,–,927 897,–,927 897
