"Excluding loss
component","Loss
component",Total ARC,ARIC,"Total
reinsurance
life risk
measured
under GMM"
5 801,8 762,14 563,–,14 563
–,–,–,–,–
5 801,8 762,14 563,–,14 563
–,–,–,–,–
(9 829),–,(9 829),–,(9 829)
–,–,–,–,–
–,–,–,–,–
–,–,–,–,–
–,6 965,6 965,–,6 965
–,(654),(654),–,(654)
–,(3 777),(3 777),–,(3 777)
–,–,–,–,–
–,–,–,–,–
(9 829),2 534,(7 295),–,(7 295)
(5 354),440,(4 914),–,(4 914)
–,–,–,–,–
(15 183),2 974,(12 209),–,(12 209)
–,–,–,–,–
15 066,–,15 066,–,15 066
15 066,–,15 066,–,15 066
–,–,–,–,–
–,–,–,–,–
–,–,–,–,–
–,–,–,–,–
5 684,11 736,17 420,–,17 420
5 684,11 736,17 420,–,17 420
–,–,–,–,–
