"Excluding
loss
component","Loss
component",Total LRC,LIC,"Total life
insurance
contracts
measured
under
GMM"
118,747,865,–,865
–,–,–,–,–
118,747,865,–,865
(306),–,(306),,(306)
179,133,312,198,510
–,–,–,73,73
–,–,–,125,125
–,–,–,–,–
–,146,146,–,146
–,98,98,–,98
–,(111),(111),–,(111)
179,–,179,–,179
(127),133,6,198,204
312,32,344,–,344
–,–,–,–,–
185,165,350,198,548
(18),–,(18),18,–
447,–,447,(215),232
798,–,798,–,798
–,–,–,(90),(90)
–,–,–,(125),(125)
(351),–,(351),–,(351)
732,912,1 644,1,1 645
–,–,–,–,–
732,912,1 644,1,1 645
