"(LRC) (LIC) Total
general
Present Risk insurance
Excluding Loss value of adjustment for non-medical
loss compon Total future cash non-financial Total measured
component ent LRC flows risk LIC under PAA"
1 425 19 1 444 3 427 61 3 488 4 932
1 425 19 1 444 3 427 61 3 488 4 932
"(5 034) – (5 034) – – – (5 034)
1 131 3 1 134 2 463 12 2 475 3 609"
"– – – 2 097 12 2 109 2 109
451 – 451 650 – 650 1 101
– – – (284) – (284) (284)
– 22 22 – – – 22
– (19) (19) – – – (19)
680 – 680 – – – 680"
"(3 903) 3 (3 900) 2 463 12 2 475 (1 425)
(5) – (5) 151 – 151 146"
(3 908) 3 (3 905) 2 614 12 2 626 (1 279)
3 889 – 3 889 (2 479) – (2 479) 1 410
"5 033 – 5 033 – – – 5 033
– – – (1 829) – (1 829) (1 829)
(451) – (451) (650) – (650) (1 101)
(693) – (693) – – – (693)"
1 406 22 1 428 3 562 73 3 635 5 063
1 406 22 1 428 3 562 73 3 635 5 063
