Net claims development (net of reinsurance),Column,Column
KShs m,2020 2021 2022 2023 2024 2025 Total,
2025,"1 901 2 156 2 257 2 529 2 799 3 952 15 594
(241) (158) (88) (161) 31 (617)
(3) (36) (46) 35 (50)
(47) (22) 97 28
(18) 48 30
5 5",
"Estimates of ultimate claims costs (net of
reinsurance, undiscounted)",,
At the end of the accident year,,
1 year later,,
2 years later,,
"3 years later
4 years later
5 years later",,
"Cumulative gross claims and other directly
attributable expenses paid",1 597 1 988 2 220 2 403 2 830 3 952,14 990
Cumulative payments to date,(1 339) (1 780) (1 871) (2 026) (2 348) (2 724),(12 088)
"Net cumulative liabilities
Outstanding cumulative claims liabilities - prior
accident years
Effect of discounting
Effect of the risk adjustment margin for non-
financial risk","258 208 349 377 482 1 228 2 902
401
(266)
160",
LIC for contracts originated,258 208 349 377 482 1 228,3 197
