Column,December 2012,Column,Column
,"Long term
business
Shs ‘000","General
business
Shs ‘000","Total
Shs ‘000"
Net insurance premium revenue,"1,328,435","2,653,951","3,982,386"
Commissions earned,"64,526","595,915","660,441"
Investment income,"2,171,087","1,009,344","3,180,431"
Administration fees,"13,292",-,"13,292"
Other income,-,"212,849","212,849"
,"2,248,905","1,818,108","4,067,013"
Total income,"3,577,340","4,472,059","8,049,399"
Net insurance benefits and claims,"(2,452,475)","(1,309,000)","(3,761,475)"
Total expenses and commissions,"(1,096,232)","(2,041,317)","(3,137,549)"
Results of operating activities,"28,633","1,121,742","1,150,375"
Earnings from associate,-,"23,704","23,704"
Profit before income tax,"28,633","1,145,446","1,174,079"
Income tax expense,"(47,279)","(268,951)","(316,230)"
Profit for the year,"(18,646)","876,495","857,849"
Total Assets,"18,064,133","9,307,967","27,372,100"
Property and equipment,"660,922","436,677","1,097,599"
Intangible assets,"63,180","4,314","67,494"
Investment property,"428,449","282,000","710,449"
Financial investments,"11,190,817","2,892,997","14,083,814"
Reinsurers' share of insurance liabilities,"130,506","1,910,386","2,040,892"
Total Liabilities,"16,885,566","5,932,303","22,817,869"
Insurance contract liabilities,"5,338,000","2,185,118","7,523,118"
Payable under deposit administration contracts,"10,465,499",-,"10,465,499"
Unearned premium reserves,"45,296","2,279,977","2,325,273"
Borrowings,-,"479,796","479,796"
Additions to property and equipment,"74,688","25,296","99,984"
Additions to intangible assets,"13,909","2,028","15,937"
