"Long-term
business","Short-term
business","Holding
company","Consolidation
adjustments","IFRS
reported"
"2,623,146","4,099,753",–,–,"6,722,899"
"2,942,124","622,718","494,000","(525,472)","3,533,370"
"72,294","757,430",–,,"829,724"
"5,637,564","5,479,901","494,000","(525,472)","11,085,993"
"(3,318,790)","(1,733,531)",–,–,"(5,052,321)"
"695,004",–,–,–,"695,004"
"(854,456)",–,–,–,"(854,456)"
"(436,640)","(949,628)",–,–,"(1,386,268)"
"(1,240,505)","(1,843,191)","(215,869)","24,457","(3,275,308)"
"(3,564)","(25,849)",-,"16,141","(13,272)"
"478,613","927,702","278,131","(485,074)","1,199,372"
"(158,524)","(300,455)",–,,"(458,979)"
"320,089","627,247","278,131","(485,074)","740,393"
20,"(5,638)",–,–,"(5,618)"
"320,109","621,609","(278,131)","(485,074)","734,775"
–,"(36,746)",–,–,"(36,746)"
"320,109","584,863","(278,131)","(485,074)","698,029"
