— IFRS 16 Leases,1 January 2019
— IFRIC 23 Income tax exposures,1 January 2019
— IFRS 9 Prepayment Features with Negative Compensation,1 January 2019
— IAS 28 Long-term Interests in Associates and Joint Ventures,1 January 2019
"— IAS 19 Plan Amendment, Curtailment or Settlement (Amendments to IAS 19)",1 January 2019
— IFRS 17 Insurance contracts,1 January 2021
— IFRS 3 Definition of a Business,1 January 2020
— Amendments to references to the Conceptual Framework in IFRS Standards,1 January 2020
— Amendments to IAS 1 and IAS 8 Definition of Material,1 January 2020
"— Sale or Contribution of Assets between an Investor and its Associate or Company (Amendments to IFRS
10 and IAS 28).",To be determined
