Director,Designation,Column,Board,Executive,"Audit
&Risk","Governance &
Nominations",ICT,"Training &
Strategy"
J. P. M Ndegwa,"Group Board
Chairman",Membership,√,,,,,
,,Attendance,5/5,,,2/4,,2/2
D. A. Oyatsi,"Deputy Chairman &
Chairman BGNC",Membership,√,,,√,,
,,Attendance,5/5,,,4/4,,2/2
J. Gachora,"Group Managing
Director (ED)",Membership,√,√,,,,
,,Attendance,5/5,12/12,5/5,4/4,4/4,2/2
I. O. Awuondo,"NED & Chairman,
BESC",Membership,√,√,,,√,
,,Attendance,5/5,12/12,,,4/4,2/2
E. N. Ngaine,INED,Membership,√,,,√,,
,,Attendance,5/5,,,1/4 *,,2/2
J. Ngunze,ED,Membership,√,,,,,
,,Attendance,5/5,,5/5,4/4,4/4,1/2
M. K. R. Shah,"INED & Chairman,
BARC",Membership,√,,√,,,
,,Attendance,5/5,,5/5,,,1/2
J. S. Armitage,NED,Membership,√,√,,,,
,,Attendance,5/5,12/12,,,,2/2
A. S. M. Ndegwa,NED,Membership,√,√,,,,
,,Attendance,4/5,12/12,,,,2/2
Hon A. H. Abdi,NED,Membership,√,,√,,,
,,Attendance,5/5,,5/5,,,2/2
G. A Maina,NED,Membership,√,,,√,,
,,Attendance,1/5**,,,1/4**,,2/2
D.Abwoga,ED,Membership,√,,,,,
,,Attendance,5/5,,5/5,1/4,4/4,2/2
P. R. Lopokoiyit,INED,Membership,√,,√,√,,
,,Attendance,5/5,,5/5,4/4,,2/2
J. Somen ***,"Co-opted member
& Chairman, BICTC",Membership,√,,,,√,
,,Attendance,5/5,,,,4/4,2/2
KEY,,,,,,,,
"BESC = Board Executive and Strategy
Committee",,BARC – Board Audit and Risk Committee,,,,NED = Non-Executive Director,,
"BGNC = Board Governance and
Nominations Committee",,ED = Executive Director,,,,"INED – Independent Non-Executive
Director",,
BICTC = Board Information and Communications Technology Committee,,,,,,,,
