Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
Amounts in KES Millions,2022 2021 ∆%,,,,,
Interest Income,"46,896","42,196",11%,"52,404","46,514",13%
Interest Expenses,"(19,469)","(17,621)",10%,"(21,726)","(19,477)",12%
Net Interest Income,"27,427","24,575",12%,"30,678","27,037",13%
FX Income,"11,905","4,658",>100%,"12,496","5,057",>100%
Other Non- Interest Income,"5,343","5,305",1%,"7,420","6,875",8%
Digital Lending Income,"8,785","9,168",(4%),"10,341","10,272",1%
Non – Funded Income,"26,033","19,131",36%,"30,256","22,204",36%
Operating Income,"53,460","43,706",22%,"60,935","49,151",24%
Operating Expenses,"(19,878)","(16,574)",20%,"(24,859)","(20,733)",20%
Operating Profit,"33,582","27,132",24%,"36,076","28,418",27%
Impairments,"(11,020)","(10,312)",7%,"(13,063)","(12,717)",3%
Profit Before Tax And Exceptional Items,"22,562","16,819",34%,"23,013","15,701",47%
Exceptional item,(531),(756),30%,(724),(756),4%
Profit after Exceptional items,"22,031","16,063",37%,"22,492","15,034",50%
