Column,"9,247,495 42,021,625 20,933,907
5,421,827 22,356,758 11,325,617
530,899 3,213,030 1,573,293
16,379 162,482 82,929",Column,"- - -
- - -
25,723 39,878 13,654
- - -",Column
"17,958,753",,-,,"20,003,162"
"10,789,044",,-,,"12,604,461"
"1,230,106",,"51,441",,"1,343,242"
"17,528",,-,,"22,687"
"29,995,431","15,216,600 67,753,895 33,915,746","51,441","25,723 39,878 13,654","33,973,552"
,"5,818,177 35,262,483 18,655,123
411,110 1,559,157 779,138
151,427 951,235 410,860",,"- - -
- - -
- - -",
"10,675,771",,-,,"12,240,647"
"460,879",,-,,"570,490"
"281,359",,-,,"314,887"
"11,418,009","6,380,714 37,772,875 19,845,121",-,- - -,"13,126,024"
"18,577,422","8,835,886 29,981,020 14,070,625","51,441","25,723 39,878 13,654","20,847,528"
,"2,238,259 9,173,241 4,696,700
1,296,532 5,448,326 2,843,795
1,020,131 5,414,649 3,269,385
- - -
200,305 1,201,863 781,179",,"- - -
- - -
- - -
- 12,144,600 5,000,000
73,168 305,279 163,069",
"4,549,737",,-,,"6,255,754"
"2,719,143",,-,,"2,979,414"
"2,126,188",,-,,"2,431,052"
-,,"7,218,000",,-
"378,825",,"142,126",,"2,816,622"
"9,773,893","4,755,227 21,238,079 11,591,059","7,360,126","73,168 12,449,879 5,163,069","14,482,842"
"28,351,315","13,591,113 51,219,099 25,661,684","7,411,567","98,891 12,489,757 5,176,723","35,330,370"
,"1,274,007 5,206,348 2,413,313
2,817,534 10,359,333 5,368,228
18,808 39,281 30,222
306,492 993,906 512,606
267,221 688,144 330,251
224,019 1,074,794 524,797
3,259,759 12,094,721 6,255,422",,"- - -
70,901 304,664 170,504
36,811 98,634 46,522
513 2,052 1,026
- - -
- - -
29,229 55,436 48,680",
"2,704,058",,-,,"3,226,683"
"6,033,841",,"162,754",,"7,739,194"
"37,403",,"48,997",,"141,695"
"614,188",,"1,026",,"666,963"
"549,466",,-,,"731,866"
"422,442",,-,,"518,447"
"7,009,653",,"58,622",,"8,754,976"
"17,371,051","8,167,840 30,456,527 15,434,839","271,399","137,454 460,786 266,732","21,779,824"
"10,980,264","5,423,273 20,762,572 10,226,845
- - -","7,140,168","(38,562) 12,028,971 4,909,991
- - -","13,550,546"
-,,-,,-
"10,980,264","5,423,273 20,762,572 10,226,845","7,140,168","(38,562) 12,028,971 4,909,991","13,550,546"
-,- - -,-,- - -,-
"10,980,264","5,423,273 20,762,572 10,226,845","7,140,168","(38,562) 12,028,971 4,909,991","13,550,546"
"(1,455,830)","(656,788) (1,248,805) (2,410,030)
(310,782) (1,680,360) 569,198","(36,834)","(29,314) (119,222) (43,368)
11,479 (4,047) (9,158)","(1,883,914)"
"(604,259)",,"(15,031)",,"(619,289)"
"8,920,175","4,455,703 17,833,407 8,386,013","7,088,303","(56,398) 11,905,702 4,857,465","11,047,343"
,"- - -
1,253,669 2,303,692 2,753,410
- 106,020 -
- - -
- - -",,"- - -
- - -
- - -
- - -
- - -",
-,,-,,"(457,984)"
"3,365,330",,-,,"3,496,006"
-,,-,,-
-,,-,,-
-,,-,,-
"3,365,330","1,253,669 2,409,712 2,753,410",-,- - -,"3,038,021"
"12,285,505","5,709,372 20,243,119 11,139,423","7,088,303","(56,398) 11,905,702 4,857,465","14,085,364"
16.43,"8.21 32.84 15.44
- 11.97 -
- 12.89 -",4.30,"- 7.23 2.95
- 2.25 2.25
- 3.25 -",6.71
-,,2.50,,2.50
-,,-,,-
