Name,February 24,March 12,March 15,April 10,June 7,July 5,August 28,November 29
Mr. Edward Njoroge,√,√,√,√,√,√,√,√
Mr. Bob Karina*,,,,√,√,√,√,√
Mr. Geoffrey O. Odundo*,,,,√,√,√,√,√
Ms. Farhana Hassanali - Hashmani*,,,,√,√,√,√,
Mr. Hosea Kimutai Kili*,,,,√,√,√,√,√
Dr. Jonathan Ciano*,,,,√,√,√,√,√
Mr. Samuel Kimani*,,,,√,√,√,,√
Ms. Winnie Nyamute***,√,√,√,√,,√,√,√
Mr. Lutaf Kassam**,√,√,√,,,,,
Mr. Job Kihumba**,√,√,√,,,,,
Mr. Stanley Ngaine**,√,√,√,,,,,
Ms. Catherine Musakali**,√,√,,,,,,
Mr. Lucas Otieno**,√,√,√,,,,,
Mr. George Maina**,√,√,√,,,,,
Mr. David Njoroge**,√,,,,,,,
Mr. Andre DeSimone**,,,√,,,,,
Mr. Peter Mwangi,√,√,√,√,√,√,√,√
