Description,6 Months Ended 30-06-2017,6 Months Ended 30-06-2016,2017 Actual Vs 2016,Column
,Kshs '000,Kshs '000,Kshs '000,%
Staff Costs,"112,982","115,106","(2,124)",(2%)
Board & Committee expenses,"11,654","11,456",198,2%
Marketing expenses,"19,998","22,514","(2,516)",(11%)
Professional & legal expenses,"7,836","9,484","(1,648)",(17%)
Communication expenses,"5,780","5,289",491,9%
ATS cost,"10,066","7,654","2,412",32%
BBO cost,"11,267","11,605",(338),(3%)
Futures costs,"17,921","3,025","14,896",492%
Gems Costs,"1,173","1,359",(186),(14%)
REITS,204,76,128,168%
ETFS,"1,095",-,"1,095",100%
M-Akiba costs,"4,863",203,"4,660",2296%
Office expenses,"12,410","10,604","1,806",17%
Building expenses,"4,299","3,652",647,18%
Amortization and Depreciation,"21,789","20,994",795,4%
Other costs,"11,327","12,761","(1,434)",(11%)
Administrative expenses,"254,664","235,782","18,882",8%
Finance cost,-,-,-,0%
Grand Total,"254,664","235,782","18,882",8%
