Building,"Motor
vehicles",Column,"Furni-
ture&
fittings","Office
equip-
ment","Com-
puter
equip-
ment",WIP,Total
Sh’000,Sh’000,,Sh’000,Sh’000,Sh’000,Sh’000,Sh’000
,,,"88,820
583
(4)
-
-
-
-",,"82,747
4,355
(26,160)
23,192
-
-
-",,
,"13,612",,,"24,627",,"74,824",
,"12,772",,,"8,376",,-,
,"(8,992)",,,"(5,410)",,-,
,-,,,"12,456",,"(74,185)",
,-,,,-,,(639),
,-,,,-,,-,
,-,,,4,,-,
,"17,",392,"89,399
-
-
-
-","40,053","84,134
8,242
(2,681)
-
-",-,
,,-,,"2,057",,-,
,-,,,(638),,-,
,-,,,-,,-,
,-,,,-,,-,
,"17,392",,"89,399","41,472","89,695",-,
,,,"-
89,399",,"-
89,695",,
,-,,,-,,-,
,"17,392",,,"41,472",,-,
,"17,392",,"89,399","41,472","89,695",-,
,,,"49,202
11,057
(4)",,"71,434
7,226
(25,903)",,
,"10,243",,,"19,767",,-,
,"3,816",,,"5,659",,-,
,"(8,992)",,,"(5,410)",,-,
,"5,067",,"60,255
10,916
-","20,016","52,757
11,446
(2,597)",-,
,"4,348",,,"6,849",,-,
,-,,,(638),,-,
,"9,415",,"71,171","26,227","61,606",-,
,,,"18,228",,"28,089",,
,"7,977",,,"15,245",,-,
,,,"29,144",,"31,377",,
,"12,325",,,"20,033",,-,
