Group,Column,Company
2021,"2020
Sh’000",2021
Sh’000,,Sh’000
"557,382",,"557,382"
"32,714",,"32,714"
––––––––,,––––––––
"590,096",,"590,096"
"(3,481)",,"(3,481)"
––––––––,,––––––––
"586,615",,"586,615"
======,,=======
"43,860",,"28,027"
(94),,(94)
––––––––,,––––––––
"43,766",,"27,933"
======,,=======
"633,956",,"618,123"
"(3,601)",,"(3,601)"
––––––––,,––––––––
"630,355",,"614,522"
======,,=======
"140,502",,"124,669"
"172,082",,"172,082"
"151,486",,"151,486"
-,,-
"169,886",,"169,886"
–––––––,,–––––––
"633,956",,"618,123"
======,,======
