"12 – month
expected
credit losses",Lifetime expected credit losses,Column,Total
,(a),(b),
,,"-
-
-
-
-
-",
,-,,"465,305"
,-,,"145,354"
,"1,462",,"26,234"
,"3,947",,"41,931"
,-,,"296,470"
,,,"88,083"
,"5,409","-
-","1,063,377"
,"(5,409)",,"(14,902)"
,-,-,"1,048,475"
,,"-
-
-
-
-",
,-,,"446,460"
,"1,835",,"21,722"
,"3,391",,"57,134"
,-,,"317,171"
,-,,"60,267"
,"5,226","-
-","902,754"
,"(5,226)",,"(9,751)"
,-,-,"893,003"
,,"-
-
-
-
-",
,-,,"465,305"
,"1,462",,"26,201"
,"3,190",,"39,616"
,-,,"296,470"
,-,,"59,393"
,"4,652","-
-","886,985"
,"(4,652)",,"(14,085)"
,-,-,"872,900"
