"Motor Furniture & Office Computer
Building vehicles fittings equipment equipment Total",Column,Column,Column,Column,Column
,"Sh’000
12,772
12,000
(12,772)
-","Sh’000
87,183
1,564
-
-","Sh’000
41,730
12
(1,489)
-","Sh’000
79,334
23,325
(14,952)
-","Sh’000
322,538
36,901
(29,213)
(38,354)"
,"12,000
-
-","88,747
(28,932)
-","40,253
(3,732)
-","87,707
(8,511)
-","292,865
(41,175)
(5,353)"
,"12,000","59,815","36,521","79,196","246,337"
,"-
12,000","-
59,815","-
36,521","-
79,196","57,812
188,525"
,"12,000","59,815","36,521","79,196","246,337"
,"12,772
2,250
(12,772)
-","82,792
2,587
-
-","39,608
1,035
(1,276)
-","71,973
8,344
(14,678)
-","207,355
16,685
(28,726)
(2,222)"
,"2,250
3,000
-
-
-","85,379
1,841
(28,828)
-
-","39,367
553
(3,732)
-
-","65,639
8,819
(8,378)
5,991
-","193,092
15,843
(40,938)
5,991
(1,383)"
,"5,250","58,392","36,188","72,071","172,605"
,"6,750","1,423",333,"7,125","73,732"
,"9,750","3,368",886,"22,068","99,773"
