Number of Board Members,10
Number of Independent Non-Executive Directors,5
Number of Non-Executive Directors representing Trading Participants,2
Number of Non-Executive Directors representing Listed Companies,2
Number of women on the Board,4
Separate Chairman and CEO,Yes
Terms of Reference for Board Committees,Yes
Independent Audit Committee,Yes
Number of Board Meetings held in 2025,6
Number of Annual General Meetings in 2025,1
Re-election of Directors in accordance with Articles of Association,YES
Board Induction Programs conducted,YES
