Column,Column,"626,002
43,707
22,932
-
93,594
-
4,735
49,700
137,619
295,040
23,687",Column
13,"610,848",,15
14,"127,102",,-
15,"21,940",,-
16,-,,-
17,"93,594",,-
18,-,,"246,206"
19,"4,735",,-
20,"49,700",,"49,700"
21 (a),"140,410",,"2,983"
22 (a),"281,719",,"348,314"
22 (c),"36,765",,"23,689"
,"1,366,813","1,297,016","670,907"
,,"7,018
121,335
123,220
78,010",
22 (a),"13,613",,-
23,"110,742",,-
24,"124,434",,"3,752"
25,"90,270",,71
,"339,059","329,583","3,823"
,"1,705,872","1,626,599","674,730"
,,"200,000
255,985
(13,991)
196,135
269,182",
26,"200,000",,"200,000"
26,"255,985",,"255,985"
,"(14,397)",,-
,"196,135",,"67,405"
,"287,234",,"15,577"
,"924,956","907,311
376,277","538,967"
,"390,112",,-
,"1,315,068","1,283,588","538,967"
