Group,Column,Company,Column
Year ended 30 June,,Year ended 30 June,
2024,2023,2024,2023
"21,238,614","25,909,698","21,238,614","25,909,698"
"4,920,670","5,111,086","4,920,670","5,111,086"
"2,269,592",-,"2,269,592",-
"10,607","23,486","10,607","23,486"
"3,629","4,768","3,629","4,768"
-,-,"2,500","2,500"
"28,443,112","31,049,038","28,445,612","31,051,538"
"2,386,320",-,"2,386,320",-
"3,138,973","747,756","3,138,973","791,359"
"1,171,049","873,595","1,171,049","876,637"
"20,758","80,281","20,758","66,413"
"25,938","30,261","25,938","30,409"
"6,743,038","1,731,893","6,743,038","1,764,818"
"35,186,150","32,780,931","35,188,650","32,816,356"
"450,000","450,000","450,000","450,000"
"648,000","648,000","648,000","648,000"
"103,935","103,935","103,935","103,935"
"18,827,445","17,760,370","18,917,047","17,760,493"
"371,352","251,958","384,256","290,658"
"20,400,732","19,214,263","20,503,238","19,253,086"
"1,942,945",-,"1,942,945",-
"8,550","10,284","8,550","10,284"
"1,951,495","10,284","1,951,495","10,284"
-,"1,942,945",-,"1,942,945"
"12,106,506","10,953,243","12,006,500","10,949,845"
"607,404","533,641","607,404","533,641"
"101,680","101,680","101,680","101,680"
"18,333","24,875","18,333","24,875"
"12,833,923","13,556,384","12,733,917","13,552,986"
"35,186,150","32,780,931","35,188,650","32,816,356"
