Group,Column,Company,Column
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"969,509","855,484","969,509","855,484"
"807,540","536,757","807,540","536,757"
"385,136","555,743","385,136","555,743"
"503,553","487,287","503,553","487,287"
"291,685","363,282","291,685","363,282"
"386,288","234,010","386,288","234,010"
"312,522","234,858","312,522","234,858"
"214,889","326,039","214,889","326,039"
"49,645","54,250","49,645","54,250"
"67,395","19,346","67,395","19,346"
"54,054","31,361","54,054","31,361"
749,"45,318",749,"45,318"
26,"5,244",26,"5,244"
-,"154,507",-,"154,507"
"7,146","1,022","7,146","1,022"
"4,569","4,932","4,569","4,932"
"1,789",108,"1,789",108
9,309,9,309
"4,056,504","3,909,857","4,056,504","3,909,857"
