"Total
2020
KShs million","Total
2019
KShs million","CIB
2020
KShs million","CIB
2019
KShs million","PBB
2020
KShs million"
,"17 251
70 078
1 612
38 377
152 817
4 910
18
3 372
9 350
1 315
–
4 397
128",,"11 978
70 078
1 612
37 719
70 859
2 325
18
1 321
8 883
571
–
2 953
128",
18 077,,12 384,,5 693
87 584,,87 584,,–
2 956,,2 956,,–
38 119,,37 978,,141
158 180,,76 683,,81 497
4 759,,564,,4 195
18,,18,,–
3 148,,1 570,,1 578
9 350,,9 350,,–
1 479,,–,,1 479
–,,–,,–
4 847,,3 089,,1 758
76,,76,,–
328 593,303 625,232 252,208 445,96 341
,"194 223
30 451
1 371
398
25
2 757
1 487
14 725
9 127
27",,"93 982
30 451
621
374
6
2 757
1 487
9 654
5 340
27",
217 444,,99 195,,118 249
42 526,,42 526,,–
1 386,,614,,772
395,,281,,114
1,,–,,1
2 601,,2 601,,–
418,,418,,–
6 581,,4 030,,2 551
5 504,,3 166,,2 338
7,,7,,–
276 863,254 591,152 838,144 699,124 025
51 730,49 034,33 529,32 780,18 201
–,–,45 885,30 966,(45 885)
328 593,303 625,232 252,208 445,96 341
