GROUP,Column,COMPANY
Year ended 31 December,,Year ended 31 December
"2020
KShs million","2019
KShs million","2020
KShs million"
20 302,"20 961
(7 613)",1
(7 507),,–
12 795,13 348,1
4 642,"5 653
(545)",–
(582),,–
4 060,5 108,–
6 234,"5 330
173
49
717",–
93,,–
38,,2 320
17,,–
6 382,6 269,2 320
23 237,24 724,2 321
(4 876),(3 151),–
18 361,21 573,2 321
(5 929),"(6 633)
(704)
(357)
(6 077)
(92)",–
(804),,–
(458),,–
(4 895),,(46)
(48),,–
(12 134),(13 863),(46)
6 227,7 710,2 275
(1 035),(1 329),–
5 192,6 381,2 275
,16.14,
13.13,,5.75
