Notes (continued),Column,Column,Column,Column,Column
19,,,,,
,GROUP COMPANY,,,,
,,"2021
KShs Million","2020
KShs Million","2021
KShs Million","2020
KShs Million"
,,,"2,877
15,200",,
,,"3,866
11,537",,"-
-","-
-"
,,"15,403","18,077",-,-
"The cash reserve requirement balance for the year ended 31 December 2021 is KShs. 9,547,857,985 (2020: KShs
8,779,084,750).The Central Bank allows a daily minimum of 3% (2020: 3%) of eligible deposits when the average
total reserving for the month is above the CRR. The applicable daily minimum for the bank therefore is KShs.
6,739,664,460 as at 31 December 2021 (2020: KShs 6,197,000,990). The bank complied with the CRR
requirement throughout the reporting period.
20 Financial assets and liabilities – FVTPL
20 (a) Financial assets – (FVTPL) GROUP",,,,,
"Debt securities
Government treasury bills and bonds",,,,"2021
KShs Million","2020
KShs Million"
,,,,"18,535","33,729"
,,,,"1 8,535","3 3,729"
Maturity analysis;,,,,,
"Maturing within 1 month
Maturing after 1 months but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years
Maturing after 5 years",,,,"2,951
12,194
1,279
1,575
536","8,600
11,651
9,625
3,853
-"
,,,,"18,535","33,729"
20 (b) Financial liabilities – FVTPL GROUP,,,,,
Unlisted,,,,"2021
KShs Million","2020
KShs Million"
,,,,357,418
Maturity analysis;,,,,,
"Maturing within 1 month
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years",,,,"-
-
357","58
50
310"
,,,,357,418
