"Notes (continued)
34 Deposits and current accounts from banks and customers
34 (a) Deposits from banks GROUP",Column,Column
"Note
Deposits from banks
Deposits due to Group banks 42 (b)
Total deposits from banks","2021
KShs Million","2020
KShs Million"
,"2,424
9,819","16,310
26,216"
,"12,243","42,526"
"Maturity analysis of deposits from banks
The maturity analysis is based on the remaining periods to contractual maturity from year end.
GROUP",,
"Repayable on demand
Maturing within 1 month
Maturing after 1 month but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months","2021
KShs Million","2020
KShs Million"
,"2,259
318
1,526
21
8,119","21,490
176
9,418
2,185
9,257"
,"12,243","42,526"
GROUP,,
"34 (b) Deposits from customers
Current accounts
Call deposits
Savings accounts
Term deposits
LC acceptances
Total deposits from customers
Total deposits from banks and customers","2021
KShs Million","2020
KShs Million"
,"151,164
7,310
63,400
15,541
4,930","129,939
9,139
58,030
17,484
2,852"
,"242,345","217,444"
,"254,588","259,970"
"Maturity analysis of deposits from customers
The maturity analysis is based on the remaining periods to contractual maturity from year end.",,
"Repayable on demand
Maturing within 1 month
Maturing after 1 month but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months","150,948
71,649
17,683
1,423
642","130,153
73,525
11,893
1,076
797"
,"242,345","217,444"
