47,Operating leases,Column,Column
,"At 31 December, the future minimum lease payments under non-cancellable operating leases were payable as follows;",,
,,"2022
KShs Million","2021
KShs Million"
,Less than one year,27,18
,Between one and five years,41,3
,,68,21
48,Fiduciary activities,,
,"The assets held on behalf of individuals, trusts, retirement benefit plans and other institutions:",,
,,"2022
KShs Million","2021
KShs Million"
,Assets held on behalf of individual’s trusts and other institutions,"457,825","429,329"
49,Subsequent event,,
,"There have been no other events or transactions subsequent to 31 December 2022 to the date of these financial statements that
would have a material effect on the financial statements at that date or for the year then ended and would require adjustment of, or
disclosure in the financial statements or notes thereto in accordance with IAS 10 Events After the Balance Sheet Date.",,
