"Notes (continued)
22 Financial assets – (amortised cost) (continued)
22.1 Reconciliation of expected credit losses for debt financial assets measured at amortised cost (KShs Million)",Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,"Opening
ECL
1 January
2024","Total
transfers
between
stages",Income statement movements,,,,"Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 December
2024"
,,,,"ECL on new
exposure
raised","Change in ECL
due to
modifications","Subsequent
changes
in ECL","Change in ECL
due to
derecognition",,,,
,,KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs,,,,,,,,,
,"Sovereign - Debt
securities
Stage 1",,,,,,,,,,
,,1 0,-,3 0,-,(1),(7),2 2,-,-,32
,,1 0,-,3 0,-,(1),(7),2 2,-,-,32
,"Pledged assets
Stage 1
Stage 2",7 1,-,-,-,1 7,(5),1 2,-,-,83
,,-,-,-,-,-,-,-,-,-,-
,,7 1,-,-,-,1 7,(5),1 2,-,-,83
,"Corporate
Stage 1",3,-,-,-,2,(1),1,-,-,4
,,3,-,-,-,2,(1),1,-,-,4
,Total,8 4 - 3 0 - 1 8 (13) 3 5 - - 119,,,,,,,,,
"1 Net impairments raised/(released) less recoveries of amounts written off in previous years equals impairment charge in the statement of profit or loss (refer credit impairment charges
note).",,,,,,,,,,,
