"Notes (continued)
22 Financial assets – (amortised cost)
GROUP",Column,Column
"Note
Pledged assets – (amortised cost) 22 (a)
Financial assets – (amortised cost) 22 (b)","2024
KShs Million","2023
KShs Million"
,"6 ,222
2 2,857","2 ,600
1 9,955"
,"2 9,079","2 2,555"
22 (a) Pledged assets – (amortised cost),,
"Amortised cost/held to collect debt securities
Gross pledged assets at amortised cost
Allowances for impairments
Expected credit loss for financial assets measured at
amortised cost (IFRS 9) 22.1
Credit impairment losses
Net pledged assets at amortised cost","6 ,305","2 ,673"
,"6 ,305","2 ,673"
,( 83),(73)
,( 83),( 73)
,"6 ,222","2 ,600"
Maturity analysis:,,
"Maturing after 1 months but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years
Maturing after 5 years","642
3,113
-
2,467",
,,"-
-
1 ,910"
,"6 ,222","2 ,600"
"These transactions are conducted under terms that are usual and customary to security lending, and security
borrowings and lending activities.
22 (b) Financial assets – (amortised cost) GROUP",,
"Debt securities: Note
Listed
Unlisted
Gross financial assets at amortised cost
Allowances for impairments
Expected credit loss for financial assets measured at
amortised cost (IFRS 9) 22.1
Credit impairment losses
Net debt securities at amortised cost","2024
KShs Million","2023
KShs Million"
,"2 2,893
-","1 9,966
-"
,"2 2,893","1 9,966"
,(36),(11)
,(36),(11)
,"2 2,857","1 9,955"
