"Notes (continued)
33 Derivative assets and derivative liabilities (continued)
33.5 Notional amount (continued)
GROUP",Column,Column
,GROUP,
"Foreign exchange derivatives
Currency forwards
Currency swaps
Currency options
Total over-the-counter
derivatives
Interest rate derivatives
Cross currency interest rate
swaps
Total over-the-counter
derivatives
Total derivative assets held
for trading
Current
Non-current
Total","2024
Fair values","2023
Fair values"
,"Notional contract
Assets Liabilities
amount
KShs Million KShs Million KShs Million","Notional contract
Assets Liabilities
amount
KShs Million KShs Million KShs Million"
,"7 ,186 7 79 9 83
3 2,651 1 ,184 1 ,297
7 ,137 6 2 1 06","6 ,473 3 12 1 04
8 1,851 1 ,578 1 ,620
2 ,565 1 00 1 47"
,"4 6,974 2 ,025 2 ,386","9 0,889 1 ,990 1 ,871"
,"2 ,510 7 0 3 60","2 ,411 2 60 6 99"
,"2 ,510 7 0 3 60","2 ,411 2 60 6 99"
,"4 9,484 2 ,095 2 ,746","9 3,300 2 ,250 2 ,570"
,"4 6,974 1 ,962 2 ,338
2 ,510 1 33 4 08","9 0,887 2 ,075 2 ,044
2 ,413 1 75 5 26"
,"4 9,484 2 ,095 2 ,746","9 3,300 2 ,250 2 ,570"
