Column,Share,Revenue,Proposed,Column
,capital,reserve,dividend,Total
,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
At 1January 2003,"600,000","907,072","80,400","1,587,472"
Net profit for the year,,"174,036",,"174,036"
Dividend declared - 2002,,,"(80,400)","(80,400)"
Proposed dividend - 2003 (Note 14),,"(100,800)","100,800",
At 31 December 2003,"600,000","980,308","100,800","1,681,108"
At 1January 2004,"600,000","980,308","100,800","1,681,108"
Bonus issue of shares,"120,000","(120,000)",,
Net profit for the year,,"242,435",,"242,435"
Dividend declared - 2003,,,"(100,800)","(100,800)"
Proposed dividend - 2004 (Note 14),,"(120,800)","120,800",
At 31 December 2004,"720,000","981,943","120,800","1,822,743"
