"1 December
2011
Shs’000",Column,Column,Column,Column
,,"31 December
2011
Shs’000",,
"1,838,992
(1,596,988)","1,787,368
1,904,698","120,094
120,094
-
-
-
-
-
-",,
"-
(2,281,412)
684,424
-
-
-","(3,437)
2,050,231
(178,219)
32,153
18,058
(14,088)",,,
"242,004","3,692,066","120,094",,
,,"120,094
-",,
"141,867
100,137","2,687,764
1,004,302",,"120,094
-","257,178
-
257,178"
"242,004","3,692,066","120,094","120,094",
"42,169
199,835","1,823,487
1,868,579","120,094
-
120,094","120,094
-","257,178
-"
"242,004","3,692,066",,,
