Column,1.1.2014,"Credited to
statement of
profit or loss",Credited to OCI,31.12.2014
Year ended 31 December 2014,KShs’000,KShs’000,KShs’000,KShs’000
Arising from:,,,,
Property and equipment,"(78,145)","41,753",-,"(36,392)"
Fair value gains on AFS instruments,"(47,218)","151,989","2,948","107,719"
Portfolio impairment,"300,665","44,900",-,"345,565"
Leasing,"145,461","174,302",-,"319,763"
Other provisions,"757,818","56,622",-,"814,440"
Group intangible assets,"(129,568)","13,580",-,"(115,988)"
Foreign currency exchange differences,-,119,-,119
Net deferred asset,"949,013","483,265","2,948","1,435,226"
