Column,Column,Column,Software,Column,Other,Total,Column
,,Work in,,,intangible,,
,,progress,,Software,assets,,Total
C,o st,KShs'000,,KShs'000,KShs'000,,KShs'000
A,t 1 January 2015,-,,"1,581,353","1,099,059",,"2,680,412"
A,dditions,"9,780",,"332,647",-,,"342,427"
T,ransfer from property and equipment,"78,180",,-,-,,"78,180"
W,ork in progress transfers,"(38,988)",,"38,988",-,,-
F,oreign exchange differences,-,,-,-,,-
A,t 31 December,"48,972",,"1,952,988","1,099,059",,"3,101,019"
A,mortisation,,,,,,
A,t 1 January 2015,-,,"(1,471,784)","(718,065)",,"(2,189,849)"
C,harge for the year,-,,"(111,533)","(45,267)",,"(156,800)"
A,t 31 December 2015,-,,"(1,583,317)","(763,332)",,"(2,346,649)"
N,et book value at 31 December 2015,"48,972",,"369,671","335,727",,"754,370"
