2019,Column,2019
,"13,821,790
(9,316,886)",
"9,282,328",,"1,558,808"
"(6,409,491)",,"(1,410,414)"
"2,872,837","4,504,904
291,104
31,559
25,131
(3,863,870)
(2,461)
(21,322)
(5,157)","148,394"
"165,620",,"138,190"
"30,901",,"610,024"
"(2,222)",,"(5,616)"
"(2,742,291)",,"(231,283)"
–,,–
–,,–
"(34,163)",,"(6,508)"
"290,682","959,888
(347,679)","653,201"
"(131,890)",,"(22,882)"
"158,792","612,209
–","630,319"
"332,617",,–
"491,409","612,209","630,319"
,"(97,120)",
"(29,906)",,–
"461,503","515,089","630,319"
,"554,481
57,728",
"431,971",,"630,319"
"59,438",,–
"491,409","612,209","630,319"
,"467,418
47,671",
"408,842",,"630,319"
"52,661",,–
"461,503","515,089","630,319"
0.34,,1.46
0.34,,1.46
1.00,,1.46
1.00,,1.46
