III. OTHER DISCLOSURES,"30.06.18
KShs. '000'
Un-audited","31.12.2018
KShs. '000
Audited","31.03.2019
KShs. '000
Un-audited","30.06.2019
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,,
a) Gross non-performing loans and advances,"18,547,487","21,660,851","21,208,732","19,788,405"
Less,,,,
b) Interest in suspense,"6,820,457","7,789,581","8,197,999","7,146,100"
c) Net Non-Performing Loans and Advances (a-b),"11,727,030","13,871,270","13,010,733","12,642,305"
Less,,,,
d) Loan loss Provisions,"7,088,093","6,724,460","8,028,618","7,864,209"
e) Net Non-Performing Loans (c-d),"4,638,937","7,146,810","4,982,115","4,778,096"
f) Realizable Value of Securities,"4,590,474","4,497,335","3,643,480","3,387,741"
g) Net NPLs Exposure (e-f),"48,463","2,649,475","1,338,635","1,390,355"
2) INSIDER LOANS AND ADVANCES,,,,
"a) Directors, shareholders and associates","48,276","46,134","57,997","51,447"
b) Employees,"6,198,871","6,582,941","6,314,183","6,518,468"
"c) Total Insider Loans, Advances and Other Facilities","6,247,147","6,629,075","6,372,180","6,569,915"
3) OFF-BALANCE SHEET ITEMS,,,,
"a) Letters of credit,guarantees, acceptances","45,107,608","46,000,041","45,506,586","51,876,610"
"b) Forwards, swaps, and options","141,379,387","68,801,264","124,060,762","77,652,518"
c) Other contingent Liabilities,-,-,-,-
d) Total Contingent Liabilities,"186,486,995","114,801,305","169,567,348","129,529,128"
4) CAPITAL STRENGTH,,,,
a) Core Capital,"34,731,286","35,459,462","36,425,604","36,137,129"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"33,731,286","34,459,462","35,425,604","35,137,129"
d) Supplementary Capital,"6,255,836","6,317,316","6,184,917","6,882,732"
e) Total capital (a+d),"40,987,122","41,776,778","42,610,521","43,019,861"
f) Total risk weighted assets,"220,137,355","214,581,735","226,560,453","231,854,209"
g) Core capital/total deposit liabilities,15.05%,15.81%,15.65%,15.81%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.05%,7.81%,7.65%,7.81%
j)Core capital/total risk weighted assets,15.78%,16.52%,16.08%,15.59%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),5.28%,6.02%,5.58%,5.09%
m)Total capital/total risk weighted assets,18.62%,19.47%,18.81%,18.55%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),4.12%,4.97%,4.31%,4.05%
(p) Adjusted Core Capital/Total Deposit Liabilities*,0.15,0.16,15.70%,15.88%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,0.16,0.17,16.13%,15.65%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,0.19,0.20,18.96%,18.62%
5) LIQUIDITY,,,,
a) Liquidity Ratio,71.31%,66.61%,71.72%,67.23%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),51.31%,46.61%,51.72%,47.23%
