"I BALANCE SHEET
A. ASSETS","30.09.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited","30.06.2021
KShs. '000
Un-audited","30.09.2021
KShs. '000
Un-audited"
1. Cash (both local and foreign),"3,546,218","3,675,054","3,780,235","2,985,141","3,252,959"
2. Balances due from Central Bank of Kenya,"13,705,701","16,944,010","21,325,908","25,876,160","11,704,239"
3. Kenya Government and other securities held for dealing purposes,"3,899,062","4,926,569","4,251,728","2,694,219","4,943,409"
4. Financial Assets at fair value through profit and loss,"669,424","760,132","678,827","620,015","582,185"
5. Investment Securities:,,,,,
a) Amortised cost:,,,,,
i. Kenya Government securities,-,-,-,-,-
ii. Other securities,-,-,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,,,
i. Kenya Government securities,"102,324,425","94,852,653","98,158,546","98,686,940","94,016,399"
ii. Other securities,-,-,-,-,-
6. Deposits and balances due from local banking institutions,"3,564,308","7,361,658","3,502,589","5,553,065","1,434,977"
7. Deposits and balances due from banking institutions abroad,"209,793","171,538","182,978","133,093","188,016"
8. Tax recoverable,"695,094","340,116",-,"1,405,295","947,326"
9. Loans and advances to customers (net),"131,651,716","121,524,227","117,873,460","130,275,654","131,744,116"
10. Balances due from banking institutions in the group,"42,794,238","63,104,628","75,364,683","65,251,018","67,665,920"
11. Investments in associates,-,-,-,-,-
12. Investments in subsidiary companies,"141,243","141,243","141,243","145,243","145,243"
13. Investments in joint ventures,-,-,-,-,-
14. Investment properties,-,-,-,-,-
15. Property and equipment,"3,585,442","3,855,942","3,717,305","3,633,367","3,504,150"
16. Prepaid lease rentals,-,-,-,-,-
17. Intangible assets,"3,162,126","3,022,992","3,696,763","3,834,906","3,981,662"
18. Deferred tax asset,"1,720,659","2,457,372","3,060,910","1,491,711","2,147,713"
19. Retirement benefit asset,-,-,-,-,-
20. Other assets,"2,635,457","2,734,723","3,790,006","3,070,575","4,354,490"
21.TOTAL ASSETS,"314,304,906","325,872,857","339,525,181","345,656,402","330,612,804"
B. LIABILITIES,,,,,
22. Balances due to Central Bank of Kenya,-,-,-,-,-
23. Customer deposits,"242,789,254","256,497,530","265,249,883","278,186,884","258,379,718"
24. Deposits and balances due to local banking institutions,"1,775,284","164,664","131,060","54,955","2,587,186"
25. Deposits and balances due to foreign banking institutions,"266,111","288,964","1,024,911","536,413","228,938"
26. Other money market deposits,-,-,-,-,-
27. Borrowed funds,-,-,-,-,-
28. Balances due to banking institutions in the group,"13,774,752","12,166,804","13,747,735","9,874,059","10,406,651"
29. Tax payable,-,-,"972,124",-,-
30. Dividends payable,"283,496","262,105","257,570","257,308","249,754"
31. Deferred tax liability,-,-,-,-,-
32. Retirement benefit liability,"139,200","163,717","163,478","19,740","22,001"
33. Other liabilities,"6,208,221","6,110,443","6,060,583","6,168,773","7,059,556"
34. TOTAL LIABILITIES,"265,236,318","275,654,227","287,607,344","295,098,132","278,933,804"
C. SHAREHOLDERS' FUNDS,,,,,
35. Paid up/Assigned Capital,"2,169,253","2,169,253","2,169,253","2,169,253","2,169,253"
36. Share premium/ (Discount),"7,792,427","7,792,427","7,792,427","7,792,427","7,792,427"
37. Revaluation reserves,"725,143","899,621","897,038","894,455","891,873"
38. Retained earnings/ (Accumulated losses),"33,794,333","31,208,789","33,510,142","35,226,672","35,086,668"
2800000,"990,346","969,283","761,639","1,358,939","765,933"
40. Other Reserves (Fair value),"1,687,075","1,158,562","774,718","1,230,252","1,135,804"
41. Proposed dividends,-,"4,135,431","4,135,431",-,"1,972,563"
42.Capital grants,"1,910,011","1,885,264","1,877,189","1,886,272","1,864,479"
43. TOTAL SHAREHOLDERS' EQUITY,"49,068,588","50,218,630","51,917,837","50,558,270","51,679,000"
44 Minority Interest,-,-,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"314,304,906","325,872,857","339,525,181","345,656,402","330,612,804"
