Column,Fair value,Column,Column,Column
"Carrying value
KShs‘000","Level 1
KShs‘000","Level 2
KShs‘000","Level 3
KShs‘000","Total
KShs‘000"
"23,257,306",-,"23,257,306",-,"23,257,306"
"428,089",-,"428,089",-,"428,089"
"139,412,560",-,-,"139,412,560","139,412,560"
"96,121,186",-,-,"96,121,186","96,121,186"
"3,235,568",-,-,"3,235,568","3,235,568"
"262,454,709",-,"23,685,395","238,769,314","262,454,709"
"13,480,464",-,"13,480,464",-,"13,480,464"
"278,879,309",-,"17,857,765","261,021,544","278,879,309"
"12,717,385",-,"4,961,737","7,755,648","12,717,385"
"11,342,411",-,,"11,342,411","11,342,411"
"316,419,569",-,"36,299,966","280,119,603","316,419,569"
