Assets at fair value,Column,Column,Column,Column,Column
Trading,"Non-trading
mandatorily
at fair value
through
profit or loss","Fair value
through other
comprehensive
income","Total
financial
assets at fair
value","Assets held at
amortised cost",Total
-,-,-,-,"23,257,306","23,257,306"
"965,720","21,211",-,"986,931",-,"986,931"
"965,720",-,-,"965,720",-,"965,720"
-,"21,211",-,"21,211",-,"21,211"
"400,494",-,-,"400,494",-,"400,494"
-,-,-,-,"428,089","428,089"
-,-,-,-,"139,412,560","139,412,560"
-,-,"104,731,162","104,731,162",-,"104,731,162"
-,-,-,-,"3,235,568","3,235,568"
-,-,-,-,"96,121,186","96,121,186"
"1,366,214","21,211","104,731,162","106,118,587","262,454,709","368,573,296"
