"2023
KShs ‘000","2022
KShs ‘000","2023
KShs ‘000"
"19,668,482","17,103,199","19,366,888"
"1,878,515","1,424,216","1,878,515"
"(40,571,445)","(16,392,751)","(40,550,157)"
"52,229,237","23,241,932","52,092,292"
"33,204,789","25,376,596","32,787,538"
"(8,195,305)","(3,788,921)","(7,837,197)"
"25,009,484","21,587,675","24,950,341"
"(637,619)","(211,242)","(637,619)"
"3,363","5,916","3,363"
"(1,896,648)","(1,137,471)","(1,896,648)"
"(2,530,904)","(1,342,797)","(2,530,904)"
"(157,957)","(169,705)","(157,957)"
"(114,861)","(87,323)","(114,861)"
"(6,045,610)","(5,289,909)","(6,045,610)"
"(2,267,104)","(2,267,103)","(2,267,104)"
"(84,690)","(84,690)","(84,690)"
"(83,310)","(83,310)","(83,310)"
"(8,753,532)","(7,982,040)","(8,753,532)"
"13,725,048","12,262,838","13,665,905"
"74,575,796","62,312,958","75,056,733"
"88,300,844","74,575,796","88,722,638"
"25,488,614","21,254,344","25,488,614"
"(4,242,448)","(4,056,854)","(4,259,460)"
-,-,"649,883"
