Column,Indicator for Calendar Year end,2002,2003,2004,2005,2006
,December,,,,,
"GDP at market prices (KShs
Million)",,"1,035,374","1,138,061","1,286,462","1,445,477","1,642,405"
Real GDP growth (%),,0.6,3.0,4.9,5.8,6.1
Exports (KShs 000),,"169,283,373","183,153,548","214,792,872","260,423,071","250,993,689"
Imports (KShs 000),,"257,710,043","281,843,865","364,557,203","443,092,766","521,482,804"
Exchange rate (KShs: USD),,77.072,76.139,77.344,72.367,69.397
Annual inflation Rate (%),,2.0,9.8,11.6,10.3,14.5
NSE 20 share price index,,"1,363","2,738","2,946","3,973","5,646"
Population,,"32,222,534","33,171,488","34,179,344","35,138,644","36,138,744"
Source: Kenya National Bureau of Statistics Statistical Abstract 2007,,,,,,
