Column,H1 FY13,H1 FY12,Variance
"Voice revenue
Messaging revenue
Mobile data revenue
Fixed data revenue
M-Pesa revenue","37.42
4.27
2.97
1.01
10.43","31.49
3.65
2.44
0.63
7.88","18.8%
17.0%
21.7%
60.3%
32.4%"
Service Revenue,56.10,46.09,21.7%
"Handset revenue
Acquisition and other revenue","2.43
0.59","3.11
0.42","(21.9%)
40.5%"
Total Revenue,59.12,49.63,19.1%
Direct costs,(22.40),(21.97),(2.0%)
Contribution margin,36.72,27.66,32.8%
"Contribution margin %
Operating costs","62.1%
(14.43)","55.7%
(12.90)","6.4%
(11.9%)"
Operating costs %,24.4%,26.0%,1.6%
EBITDA,22.29,14.76,51.0%
EBITDA margin %,37.7%,29.7%,8.0%
"Depreciation & amortisation
Financing cost
Taxation","(9.91)
(0.87)
(3.74)","(8.72)
(0.65)
(1.38)","(13.6%)
(33.8%)
(171.0%)"
Net Income,7.77,4.01,93.8%
"Earnings per share
Free Cash Flow","0.19
5.14","0.10
(0.74)","90.0%
791.1%"
