BOARD,13 MAY 2013,11 SEPT 2013,5 NOV 2013,27 FEB 2014
"Nicholas Nganga
Chairman",,,,
"Robert Collymore
Executive Director",,,,
"Michael Joseph
Non-Executive Director",,,,
"Nicholas Read
Non-Executive Director",,-,-,Resigned 15 Nov 2013
"Sunil Sood
Non-Executive Director",-,,,
"Ahmed Essam
Non-Executive Director",,Resigned 1 Aug 2013,,
"Nancy Macharia
Non-Executive Director",,,,
"Susan Mudhune
Non-Executive Director",,,,
"Esther Koimett
Non-Executive Director",,,,
"John Otty
Non-Executive Director",,,,
"Serpil Timuray
Non-Executive Director",,,Appointed 15 Nov 2013,
"Enid Muriuki
Company Secretary",,,,
