"Share
capital","Share
premium","Retained
earnings","Proposed
dividends",Total equity
Shs’000,"Shs’000
2,200,040
-
-
-",Shs’000,"Shs’000
25,641,874
-
(25,641,874)
30,483,432",Shs’000
"2,003,271",,"75,584,707",,"105,429,892"
-,,"37,764,792",,"37,764,792"
-,,-,,"(25,641,874)"
-,,"(30,483,432)",,-
-,-,"(30,483,432)","4,841,558","(25,641,874)"
"2,003,271","2,200,040","82,866,067","30,483,432","117,552,810"
,"2,200,040
-
-
-
-
-",,"30,483,432
-
(30,483,432)
-
-
38,863,465",
"2,003,271",,"82,866,067",,"117,552,810"
-,,"48,254,813",,"48,254,813"
-,,-,,"(30,483,432)"
-,,"33,707",,"33,707"
-,,"(27,244,491)",,"(27,244,491)"
-,,"(38,863,465)",,-
-,-,"(66,074,249)","8,380,033","(57,694,216)"
"2,003,271","2,200,040","65,046,631","38,863,465","108,113,407"
