"FY20
IFRS 15 Reported","FY19
IFRS 15 Restated","FY19
IFRS 15 Reported","% Change
IFRS15/IAS17"
35.61,31.73,31.85,12.2%
614.58,659.34,658.30,(6.8%)
28.63,26.15,26.73,9.5%
758.70,788.94,773.00,(3.8%)
25.22%,23.54%,23.45%,(1.7ppts)
25.75,24.16,24.24,6.6%
313.46,340.26,339.58,(7.9%)
"173,259","167,083","167,083",3.7%
24.91,22.64,22.64,10.0%
294.68,289.95,289.95,1.6%
21.99,19.26,18.83,14.2%
19.62,17.81,15.92,10.2%
179.70,170.98,175.66,5.1%
21.40,20.34,17.92,5.2%
67.80,80.83,81.67,(16.1%)
"5,314","4,949","4,949",7.4%
"5,275","4,907","4,907",7.5%
"4,342","2,791","2,791",55.6%
