31-Mar-21,31-Mar-20,% Change
"4,203.3","4,203.3",0.0%
"96,571.8","82,785.2",16.7%
"36,860.2","56,091.6",(34.3%)
"137,635.3","143,080.1",(3.8%)
"17,541.7","13,644.1",28.6%
"155,177.0","156,724.2",(1.0%)
"174,719.9","164,402.7",6.3%
"26,736.1","26,759.7",(0.1%)
0.0,188.6,(100.0%)
"22,347.9","17,190.3",30.0%
"2,487.0","1,859.4",33.8%
7.2,260.4,(97.2%)
"1,287.8",0.0,100.0%
"3,043.4","2,563.8",18.7%
"55,909.4","48,822.2",14.5%
"34,021.4","29,920.1",13.7%
"8,684.1","1,045.1",>100.0%
260.3,112.9,>100.0%
"4,119.5","3,549.4",16.1%
"14,772.0","8,000.0",84.7%
"2,561.5","4,462.3",(42.6%)
"11,033.5","9,410.9",17.2%
"75,452.3","56,500.7",33.5%
"(19,542.9)","(7,678.5)",>100.0%
"155,177.0","156,724.2",(1.0%)
