GROUP,Column,Column,Column,Column,Column,Column
"Secondees
Site Collocation Shops Facilities houses Equipment Total
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m",,,,,,
"6,899.9","4,718.8",915.9,"2,208.6",3.4,16.2,"14,762.8"
"1,136.2","4,058.9",170.9,549.5,65.6,(1.6),"5,979.5"
19.8,811.2,(20.7),237.2,–,(0.5),"1,047.0"
"(1,041.4)","(1,318.4)",(259.7),"(1,014.4)",(16.3),(6.6),"(3,656.8)"
1.6,–,0.1,1.8,0.1,–,3.6
66.5,–,0.2,98.9,–,–,165.6
"7,082.6","8,270.5",806.7,"2,081.6",52.8,7.5,"18,301.7"
"10,078.0","11,549.3","1,564.2","4,431.4",144.1,15.8,"27,782.8"
"(2,995.4)","(3,278.8)",(757.5),"(2,349.8)",(91.3),(8.3),"(9,481.1)"
"7,082.6","8,270.5",806.7,"2,081.6",52.8,7.5,"18,301.7"
