"2024
KShs’m",Column,"2024
KShs’m"
"3,272.9","2,965.1
2,598.1
1,906.0
1,811.8
1,349.9
717.7
225.6
152.1
3.1
3.9
0.4","3,272.9"
"2,646.0",,"2,162.4"
"2,316.7",,"2,178.5"
"1,983.3",,"1,838.4"
"1,472.9",,"1,472.9"
836.7,,791.7
178.0,,178.0
161.1,,161.1
3.1,,3.1
4.0,,4.0
–,,–
"12,874.7","11,733.7","12,063.0"
,"12,148.1
211,080.3
(211,494.7)",
"11,733.7",,"11,295.3"
"234,913.0",,"220,502.9"
"(233,772.0)",,"(219,735.2)"
"12,874.7","11,733.7","12,063.0"
"11,393.5","10,125.9
1,607.8","10,581.8"
"1,481.2",,"1,481.2"
"12,874.7","11,733.7","12,063.0"
