Group,Column,Company,Column
FY25,FY24,FY25,FY24
,"149,469.2
2,155.0
(43,700.6)",,
"183,648.6",,"200,014.5",
"2,671.7",,"2,252.9",
"(48,626.4)",,"(47,524.0)",
"137,693.9","107,923.6","154,743.4",
,"(66,636.1)
290.0
(30,992.5)
(59.6)
28.6
(796.0)
-
-
(1,075.0)
-
-
-
(977.6)",,
"(60,792.7)",,"(45,162.7)",
46.4,,40.8,
"(12,238.5)",,"(12,238.5)",
(53.8),,(53.8),
-,,-,
"1,074.9",,272.0,
-,,"2,251.3",
12.5,,-,
239.5,,239.5,
-,,(90.1),
-,,"(30,161.1)",
"(1,532.5)",,"(1,532.5)",
"(2,270.0)",,"(2,270.0)",
"(75,514.2)","(100,218.2)","(88,705.1)",
,"(42,010.4)
(7,727.1)
(1,913.7)
-
(12,776.5)
65,841.3
(41,103.9)
29,993.8",,
"(53,227.8)",,"(53,227.8)",
"(7,808.6)",,"(3,714.6)",
"(3,200.4)",,"(3,079.4)",
404.0,,-,
"(14,893.5)",,"(12,764.8)",
"37,567.0",,"28,000.0",
"(26,305.2)",,"(24,415.5)",
"26,787.4",,-,
"(40,677.1)","(9,696.5)","(69,202.1)",
"21,502.6","(1,991.1)","(3,163.8)",
,"22,098.1
1,923.5
837.7
(1,991.1)",,
"22,868.2",,"19,072.1",
"(4,409.6)",,-,
"(9,965.5)",,-,
"21,502.6",,"(3,163.8)",
"29,995.7","22,868.2","15,908.3",
