"For the year ended 31
December 2021","Trademark
KShs’000","Software
KShs’000","Broadcasting
licenses
KShs’000","Total
KShs’000"
Cost,,,,
At start of year,"39,531","674,499","458,738","1,172,768"
Write off,"(17,250)",-,-,"(17,250)"
At end of year,"22,281","674,499","458,738","1,155,518"
Amortisation,,,,
At start of year,-,"(604,577)",-,"(604,577)"
Charge for the year,-,"(29,315)",-,"(29,315)"
At end of year,-,"(633,892)",-,"(633,892)"
Carrying amount at end of year,"22,281","40,607","458,738","521,626"
"For the year ended 31
December 2020",,,,
Cost,,,,
At start of year,"39,531","651,980","451,238","1,142,749"
Additions,-,"8,191","7,500","15,691"
Transfer from CWIP*,-,"14,328",-,"14,328"
At end of year,"39,531","674,499","458,738","1,172,768"
Amortisation,,,,
At start of year,-,"(563,939)",-,"(563,939)"
Charge for the year,-,"(40,638)",-,"(40,638)"
At end of year,-,"(604,577)",-,"(604,577)"
Carrying amount at end of year,"39,531","69,922","458,738","568,191"
