For the year ended 31 December 2017,"At start of year
KShs. ‘000","(Charge)/ credit to profit or loss
KShs. ‘000","Transfer to current tax
KShs. ‘000","At end of year
KShs. ‘000"
,"5,559",702,-,"6,261"
,"(9,435)",-,-,"(9,435)"
,"18,117","8,550",-,"26,667"
,"132,437","14,303",-,"146,740"
,"39,277","(13,433)",-,"25,844"
,"(844,396)","(143,162)","240,109","(747,449)"
,"(658,441)","(133,040)","240,109","(551,372)"
,"(844,396)","(143,162)","240,109","(747,449)"
,"36,406","8,930",-,"45,336"
,"3,234",-,-,"3,234"
,"4,136","(2,086)",-,"2,050"
,"24,883","23,985",-,"48,868"
,"117,296","(20,707)",-,"96,589"
,"(658,441)","(133,040)","240,109","(551,372)"
