Column,Column,Contractual cashflows (undiscounted),Column,Column
At 31 December 2017,Carrying amount,< 1 year,1 - 5 years,> 5 years
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,"15,196,781","649,408","3,597,183","10,950,190"
,"2,239,644","2,239,644",-,-
,"301,567","301,567",-,-
,"17,737,992","3,190,619","3,597,183","10,950,190"
Liabilities,,,,
,"1,030,741",941,"1,029,800",-
,"1,030,741",941,"1,o29,800",-
,,Contractual cashflows (undiscounted),,
At 31 December 2016,Carrying amount,< 1 year,1 - 5 years,> 5 years
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,"15,139,063","605,183","3,479,605","11,054,275"
,"2,033,481","2,033,481",-,-
,"463,955","463,955",-,-
,"17,636,499","3,102,619","3,479,605","11,054,275"
Liabilities,,,,
,-,-,-,-
,-,-,-,-
