13 b) Assets held for sale,Column,Column,Column
,,2017,2016
,,KShs. ‘000,KShs. ‘000
At 1 January,,-,-
Additions,,-,-
Disposals,,-,-
Transfer from investment properties (Note 13(a)),,"605,000",-
Transfer from other receivables,,"540,000",-
Total,,"1,145,000",-
"Assets held for sale comprise land and buildings which the Group intends to sell before the end of 2018.
The Group intends to move into Sanlam Tower in Westlands, currently under construction in the course of 2018. As such, this is designated as the future office of the Group. The
Board of Directors of Sanlam Kenya Plc, have approved the sale of Sanlam House, Loresho Building and Grevilia House. Sanlam House is actively being marketed and the directors
believe the sale of the property will be completed by the end of 2018. At year end, there were existing sale agreements for Loresho Building and Grevilia House but this did not
qualify to be accounted for a sale and hence disclosed as held for sale. Sanlam House was previously classified under investment properties in the books of the Group.
Sanlam House, Loresho Building and the Grevilia House were classified as held for sale as at year end as required by IFRS 5 and were measured at fair value as per the guidelines
of IAS 40 “Investment Properties”. The fair value of the assets held for sale was determined based on valuations performed by Knight Frank Limited as at 31 December 2017. Knight
Frank Limited are industry specialists in valuing these types of investment properties. The fair value represents the amount at which the assets could be exchanged between a
knowledgeable, willing buyer and a knowledgeable, willing seller in an arm’s length transaction at the date of valuation.
14. (a) Investments in subsidiaries",,,
Company,Shareholding,2017,2016
,,KShs.‘000,KShs.‘000
Sanlam Life Insurance Limited,100%,"230,261","230,261"
Sanlam Securities Limited,100%,"679,009","679,009"
Sanlam Investments Limited,100%,"59,514","59,514"
Sanlam General Insurance Limited,67.54%,"496,612","374,820"
,,"1,465,396","1,343,604"
"In 2017 Sanlam Kenya made additional investments of KShs 121,792,000 in Sanlam General while minority interests made additional investments of KShs 66,521,000. There was
no change in the shareholding structure as a result of the investments.",,,
