"Level 3
Financial assets and liabilities measured using inputs that are not based on observable market data are categorised as level 3. Non-market observable inputs mean that fair values
are determined in whole or in part using a valuation technique (model) based on assumptions that are neither supported by prices from observable current market transactions in
the same instrument nor are they based on available market data.
Valuation techniques are used to the extent that observable inputs are not available, thereby allowing for situations for which there is little, if any, market activity for the asset or
liability at the measurement date. However, the fair value measurement objective remains the same, that is, an exit price from the perspective of the Group. Therefore, unobservable
inputs reflect the Group’s own assumptions about the assumptions that market participants would use in pricing the asset or liability (including assumptions about risk). These
inputs are developed based on the best information available, which might include the Group’s own data.
However, significant portion of the unquoted shares have been valued at cost and variation in inputs would not have significant fair value change.",Column,Column,Column,Column
,Level 1,Level 2,Level 3,Total fair value
As at 31 December 2017:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
Financial assets :,,,,
Equities and similar securities,"3,401,664","800,000","104,102","4,305,766"
Public sector stocks and loans,"5,733,553",-,-,"5,733,553"
Non-financial assets at fair value,,,,
Investment properties,-,-,"3,785,700","3,785,700"
Non-current assets held for sale,-,-,"1,145,000","1,145,000"
,"9,135,217","800,000","5,034,802","14,970,019"
Financial liabilities:,,,,
Investment contract liabilities,-,"6,568,158",-,"6,568,158"
,-,"6,568,158",-,"6,568,158"
,Level 1,Level 2,Level 3,Total fair value
As at 31 December 2016:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
Financial assets:,,,,
Equities and similar securities,"3,286,098","977,778","104,653","4,368,529"
Public sector stocks and loans,"6,302,671",-,-,"6,302,671"
Non-financial assets at fair value,,,,
Investment properties,-,-,"2,761,200","2,761,200"
Non-current assets held for sale,-,-,-,-
,"9,588,769","977,778","2,865,853","13,432,400"
Financial liabilities:,,,,
Investment contract liabilities,-,"7,653,977",-,"7,653,977"
,-,"7,653,977",-,"7,653,977"
