Accident year,t2012,2013,2014,2015,2016,2017,2018,2019
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,"91,579","108,892","79,723","71,994","152,288","366,025","520,430","307,784"
,"126,150","105,950","140,954","152,185","77,523","171,043","94,098",-
,"119,804","124,274","140,957","80,936","52,954","76,709",-,-
,"99,005","113,859","66,335","49,377","24,144",-,-,-
,"72,795","38,861","44,677","31,802",-,-,-,-
,"32,920","18,840","31,348",-,-,-,-,-
,"19,465","17,435",-,-,-,-,-,-
,"17,333",-,-,-,-,-,-,-
,"17,333","320,797","261,022","222,529","324,414","823,863","810,527","650,410"
,-,"(303,361)","(229,673)","(190,727)","(318,269)","(747,153)","(716,429)","(342,627)"
,-,-,-,-,-,-,-,"178,850"
,,-,-,,,,,"947,676"
