Figure in KES millions 2013 2012 % Variance,Column,Column
Revenue,"11,807.6","1 3,487.2 -12%"
Gross Profit,"3,559.3","3,673.2 -3%"
% of Sales,30.1%,27.2%
EBITDA,"2,258.4","2,613.3 -14%"
% of Sales,19.1%,19.4%
Operating Profit,"1,535.0","1,969.4 -22%"
% of Sales,13.0%,14.6%
Profit Before Income Tax,858.6,"1,226.5 -30%"
,7%,9%
Profit After Income Tax,626.4,740.6 -15%
% of Sales,5.3%,5.5%
Profit After Tax Attributable to:,,
Equity Holders of Parent Company,291.3,455.1 -36%
Non Controlling Interest,335.1,285.5 17%
Profit For the Year,626.4,740.6 -15%
