Subsidiary,Country of incorporation,2016 %,2015 %
Cable Holdings Limited,Kenya,100,100
East African Cables Limited,Kenya,68.4,68.4
East African Cables Tanzania Limited,Tanzania,35.2,35.2
AEA Limited,Kenya,94.4,94.4
TransCentury Holdings (Pty) Limited,South Africa,100,100
"Kewberg Cables & Braids (Pty) South
Africa Limited",South Africa,100,100
Tanelec Limited,Zambia,56,56
Tanelec Limited,Tanzania,70,70
Crystal Limited,Tanzania,100,100
TC Mauritius Holdings Limited,Mauritius,100,100
Cable Holdings Mauritius Limited,Mauritius,100,100
TC Engineering and Contracting Limited,Mauritius,100,100
TC Railway Holdings Limited,Mauritius,100,100
Safari Rail Company Limited,Mauritius,100,100
Civicon Africa Group Limited*,Mauritius,83.5,78
Civicon DRC Holdings Limited,Mauritius,100,100
Cableries du Congo Sarl,Democratic Republic of Congo,100,100
