"32. RETIREMENT BENEFIT PLANS (Cont’)
(b) Defined benefit plan (Continued)
The principal assumptions used for the purposes of the actuarial valuations were as follows.",Column,Column
"As of December 31,","Valuation
2010
Kshs’000","Valuation
2009
Kshs’000"
"Discount rate(s)
Expected return on plan assets
Expected rate(s) of salary increase","%
10
10
8","%
10
10
8"
Amounts recognised in profit or loss in respect of these defined benefit plans are as follows.,,
"As of December 31,","2010
Kshs’000","2009
Kshs’000"
"Current service cost
Interest on obligation
Expected return on plan assets
Actuarial (gains)/losses recognised in the year
Past service cost
Expense recognised in profit or loss","11,559
28,356
(29,069 )
-
-
10,846","4,996
2,665
(7,697 )
1,810
-
1,774"
"The expense for the year is included in the employee benefits expense in the statement of comprehensive income (note 8).
The amount included in the statement of financial position arising from the entity’s obligation in respect of its defined benefit
plans is as follows.",,
,"2010
Kshs’000","2009
Kshs’000"
"Present value of funded defined benefit obligation
Fair value of plan assets
Deficit/(surplus)
Net actuarial (losses)/gains not recognised
Net liability arising from defined benefit obligation
(recognized and included in other payables and accruals note 25)","371,004
(323,761 )
47,243
(7,243 )
40,000","283,557
(290,693 )
(7,136 )
7,136
-"
"Also, the company contributes to the statutory defined contribution pension scheme, the National Social Security Fund.
Contributions to the statutory scheme are determined by local statute and are currently limited to Kshs 200 per employee per
month. Contributions to this scheme during the year amounted to Kshs 893,200 (2009 - Kshs 659,200).",,
