KShs'000',KShs'000',KShs'000',KShs'000',KShs'000'
"13,233,730","13,317,926","12,695,408","12,712,517","11,032,442"
"416,679","416,679","416,679","416,679","416,679"
"297,103","222,465","230,731","228,826","187,585"
"405,543","393,864","308,343","377,462","336,563"
"14,353,055","14,350,934","13,651,161","13,735,484","11,973,269"
"11,890,143","7,747,934","6,436,314","6,668,240","9,916,675"
"27,179,637","14,806,406","13,283,383","12,855,068","10,645,435"
"19,595,935","10,100,456","9,591,950","4,281,548","6,699,178"
"58,665,715","32,654,796","29,311,647","23,804,856","27,261,288"
"24,364","24,364","24,364","24,364","24,364"
"58,690,079","32,679,160","29,336,011","23,829,220","27,285,652"
"73,043,134","47,030,094","42,987,172","37,564,704","39,258,921"
"9,974,771","9,974,771","9,974,771","9,974,771","9,974,771"
"1,967,520","1,967,520","1,967,520","1,967,520","1,967,520"
"18,288,158","16,668,532","14,918,006","12,439,879","10,723,752"
"30,230,449","28,610,823","26,860,297","24,382,170","22,666,043"
"1,846,318","2,239,805","1,839,746","2,125,506","1,188,711"
"1,846,318","2,239,805","1,839,746","2,125,506","1,188,711"
"26,396,559","16,179,466","14,287,129","10,308,441","15,404,167"
"14,569,808",,,"748,587",-
"40,966,367","16,179,466","14,287,129","11,057,028","15,404,167"
"73,043,134","47,030,094","42,987,172","37,564,704","39,258,921"
