FOR THE YEAR ENDED 31 DECEMBER,2023,2022,2021,2020,2019
,KShs'000',KShs'000',KShs'000',KShs'000',KShs'000'
Gross sales,"156,432,095","141,346,899","110,161,215","97,351,821","143,990,455"
Indirect taxes and duties,"(35,713,695)","(38,544,483)","(35,450,751)","(31,920,643)","(32,113,529)"
Net sales,"120,718,400","102,802,416","74,710,464","65,431,178","111,876,926"
Cost of sales,"(107,882,718)","(93,222,522)","(65,909,440)","(56,374,062)","(103,266,119)"
Gross profit,,,,,
,"12,835,683","9,579,894","8,801,024","9,057,116","8,610,807"
Operating expenses and other income,"(6,402,963)","(5,571,111)","(4,685,662)","(4,214,951)","(4,712,114)"
Finance (costs)/income and net foreign exchange (loss)/gain,"(1,813,300)","(205,789)","(122,443)","(57,591)","(17,325)"
Profit/(loss) before tax,"4,619,420","3,802,994","3,992,919","4,784,574","3,881,368"
"153
Taxation","(1,596,496)","(1,358,667)","(1,254,011)","(1,488,042)","(1,346,836)"
Profit/(loss) for the year,"3,022,924","2,444,327","2,738,908","3,296,532","2,534,532"
